Unnamed: 0,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Viet Nam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,38.81833,122750.8,104.3122,3.674759,0.998998,288.6508,2.699279,1.36714,11.40925,0.280149,255.5025,33.42191,555.2058,555.2058,39.89553,0.054118,0.377054,1.0,,0.000742,2.0,4.615343,0.638295,2.005191,1.531239,31.40005,2.671815,545.2111,1.365952,1.367048,420.1979,8.610021,545.2111,555.2058,0.02568,0.02,826.3513,416.1147,81.89083,156.233,0.492191,28.71848,1.622104,177.721,2.7,6.354598,13.08502,35.04934,2182.617,3.379747,5.469819,133.9004,13.2049,5.228127,5.215877,1.463454,5.546376,1.0,555.2058,0.653048,1.992326,0.090295,979.3812,9.223194,555.2045,555.2058,242.242,2.7,5.743894,138.2903,7.728617,8.211938,5.878633,14.32288,105.1999,2158.766,31.40005,0.66808,1747.971,2002.387,69.96612,2.988876,1611.641,32.82138,0.699255,102.1998,34.66547,55.92481,10.9269,2545.25,1.367751,2.7,801.4042,0.298336,717.6667,1680.08,46.4387,0.348368,2.7,49.17101,3.548696,3.97775,33.42191,0.565527,9.154454,4.145382,545.079,11.53653,3.384736,,555.2058,0.371179,5.974913,,400.6506,5.823518,122.1226,17.9946,7.913109,2.6237,3.548696,555.2058,21.9947,6.691447,1.818785,7.054266,48.29052,1.685766,0.38502,30.54292,1.0,2.196081,26.31892,,1.071786,2.273268,165.9548,1867.659,1.0,3.642349,0.165208,2.194338,141.5105,3.752298,0.288265,555.2058,1.527152,3.25368,575.3561,8.722047,1612.446,8007.394,,0.732667,0.223758,32.09928,131.85,7.708281,3.548696,5.042479,11.225,555.2058,555.2058,25.15926,0.024494,19.19833,1.368041,5.675673,1.017176,0.029904,26.43539,512.4533,942.3165,0.364408,5.054092,1.0,52.00397,2.7,0.146398,10945.17,115.0205,2.531326,,30.28067,3.548696,0.67157,
1995.0,36.5675,516812.7,101.889,3.672901,1.000783,405.9083,2.699899,1.349536,10.07466,0.994181,246.7279,29.46281,499.15,499.15,39.94192,0.067182,0.377,1.0,,0.001183,2.0,4.806645,0.916864,2.010338,1.417568,32.41393,2.766063,498.4525,1.372213,1.181657,396.8102,8.351316,498.4525,499.15,0.16879,0.070833,912.5887,374.1015,76.85333,179.6784,0.45242,26.45389,1.432661,177.721,2.7,5.602943,13.72334,47.18998,2559.612,3.394015,6.163765,124.6673,11.48648,5.885337,4.365666,1.406098,4.986499,1.0,499.15,0.633476,1.522812,0.119595,-193765.9,9.49404,499.1483,499.15,231.3955,2.7,5.786688,141.9892,7.73472,9.322604,5.126649,18.86113,125.6555,2243.652,32.41393,0.623219,2492.591,2002.387,64.70233,3.008456,1627.721,34.94191,0.700057,94.05987,61.00108,51.3327,10.81717,2450.833,1.349032,2.7,768.6489,0.298617,804.6908,1620.912,49.83833,0.418145,2.7,50.83521,3.625699,3.999968,29.46281,0.535146,8.497783,4.495744,787.5556,11.72,6.411974,,499.15,0.34676,5.667042,,431.7981,8.764123,128.5093,17.72905,15.16608,2.506637,3.625699,499.15,21.97692,7.516208,1.604045,6.335676,50.50358,1.52379,0.385082,31.62023,1.0,2.252892,25.67634,,1.279573,2.41369,149.9034,1876.751,1.0,3.640729,0.203321,4.558777,202.5231,3.750883,0.578165,499.15,1.416833,3.25946,740.8527,8.722531,1628.934,9641.155,,1.420417,0.441693,29.74977,120.6836,7.135,3.625699,4.779408,11.225,499.15,499.15,24.91782,0.122859,110.9167,1.317796,5.806744,0.942657,0.045993,26.45943,561.8346,957.5334,1.503331,6.319777,1.0,35.30862,2.7,0.176208,11005.64,111.877,2.469784,,12.0,3.625699,0.854549,
1996.0,47.5,110941.4,101.8028,3.672184,1.000144,414.0408,2.699928,1.277522,10.58121,0.862322,269.0391,30.95829,511.5517,511.5517,41.40094,0.178242,0.377,1.0,,0.001438,2.0,5.083509,1.004734,2.010382,1.409886,35.39531,3.312563,511.2569,1.363538,1.236244,412.2705,8.314231,511.2569,511.5517,1.338596,0.501667,1035.934,383.3982,82.59147,207.8522,0.466311,27.14368,1.504421,177.721,2.7,5.796412,13.78864,54.5089,3186.493,3.396086,6.357275,126.533,12.12852,6.189673,4.590488,1.403071,5.113993,1.0,511.5517,0.640542,1.256133,0.163479,997.5312,9.800371,511.5523,511.5517,240.7262,2.7,6.088241,140.375,7.734012,11.48801,5.353945,15.84056,152.1507,2327.331,35.39531,0.62466,3000.0,2002.387,66.5311,3.185648,1541.789,36.92608,0.709333,108.7941,67.2718,56.50295,12.76529,2624.083,1.277863,2.7,801.4743,0.299524,921.0217,1571.877,46.8375,0.4368,2.7,55.15848,4.297124,4.014487,30.95829,0.551545,8.686551,4.609594,769.4068,11.72,7.59371,,511.5517,0.354025,5.917567,,464.8713,11.05769,136.8589,19.62583,15.21854,2.515131,4.297124,511.5517,21.9229,8.405404,1.685135,6.454475,56.23779,1.454165,0.384989,36.02613,1.0,2.4487,26.20285,,1.318893,2.695656,154.1887,2040.461,1.0,3.640959,0.308276,5.123481,254.5028,3.750893,1.244956,511.5517,1.409697,3.519796,902.9986,8.744298,1542.947,11274.92,,2.203167,0.39927,30.65116,135.2525,6.705303,4.297124,4.982745,11.225,511.5517,511.5517,25.34846,0.2955,3257.667,1.228047,5.91467,0.976596,0.081663,27.44506,552.4269,1034.597,1.831913,7.892848,1.0,40.0468,2.7,0.416025,11017.34,111.5069,2.466463,,63.3997,4.297124,1.188577,
1997.0,47.5,228814.8,148.6727,3.672193,0.999992,490.8467,2.696925,1.347961,12.19937,0.797781,327.3213,35.77008,583.6708,583.6708,43.51249,1.589017,0.377,1.0,1.715731,0.012014,2.0,5.252101,1.077677,2.011,1.47869,36.32046,3.635113,583.2923,1.384866,1.45041,419.241,8.289856,583.2923,583.6708,3.828133,1.314167,1140.798,436.1262,93.17667,232.6354,0.513897,31.68028,1.733671,177.721,2.7,6.604519,14.17362,57.61363,3993.604,3.392245,6.758822,146.3908,13.86797,6.494052,5.191285,1.442449,5.835224,1.0,583.6708,0.610184,1.297432,0.203571,1077.63,10.02055,583.6692,583.6708,273.0436,2.7,6.040533,142.4008,7.742839,12.98702,6.101022,16.47009,186.7131,2879.775,36.32046,0.659348,3000.0,2002.387,70.76866,3.442525,1702.633,35.24047,0.708018,121.0616,75.44886,58.88013,17.3685,2946.25,1.34738,2.7,948.9998,0.303436,1259.979,1539.363,50.57,0.460866,2.7,58.92144,4.606554,3.999962,35.77008,0.580801,9.495441,4.624374,925.5804,11.72898,7.91918,46.93472,583.6708,0.381765,6.241833,,643.2898,11.29327,151.1429,20.95632,16.27818,2.815463,4.606554,583.6708,21.8902,9.413841,1.950754,7.078857,57.03794,1.51343,0.385,41.05596,1.0,2.660036,29.56925,,1.437601,3.277342,175.2726,2163.663,1.0,3.64066,0.711152,5.783412,303.3303,3.750973,1.56839,583.6708,1.485407,3.661672,962.5773,8.754148,1703.098,12908.68,5.912,4.5525,0.39927,33.53452,159.1127,7.639589,4.606554,5.031991,11.225,583.6708,583.6708,30.99278,0.562333,4143.417,1.260884,6.159568,1.104341,0.152406,28.65708,603.9837,1070.106,1.861524,9.376761,1.0,66.44016,2.7,0.48694,11667.96,115.8155,1.356314,,121.5939,4.606554,1.297396,
1998.0,47.5,273251.9,152.4996,3.673,1.0,504.915,2.697102,1.591508,12.3802,0.773661,383.6216,36.29887,589.9525,589.9525,46.54472,1.754463,0.376992,1.0,1.74106,0.004647,2.0,5.51542,1.160159,2.011034,1.671438,41.23745,4.213878,589.5096,1.483375,1.449964,460.1817,8.27909,589.5096,589.9525,4.105668,1.6075,1425.417,444.5627,98.1575,256.6356,0.517836,32.25831,1.759593,177.721,2.7,6.701899,15.17376,58.75077,5428.791,3.407836,7.361933,149.3703,14.07044,6.963732,5.345962,1.969878,5.898701,1.0,589.9525,0.603511,1.391571,0.231976,1229.96,10.62553,589.9516,589.9525,295.3717,2.7,6.368291,150.5192,7.746538,13.40694,6.362812,16.91936,214.2937,10193.98,41.23745,0.702204,2967.532,2002.387,70.99836,3.793405,1736.539,36.20309,0.708654,130.7625,78.29198,60.34299,20.72089,3744.417,1.591828,2.7,1398.074,0.304797,3298.333,1515.655,41.5075,0.467574,2.7,64.65972,5.528227,4.0,36.29887,0.589803,9.585367,5.373974,1041.772,11.76947,9.144253,54.70955,589.9525,0.386982,6.343158,,814.7779,11.76162,186.8626,23.89479,30.86096,3.920548,5.528227,589.9525,21.89,10.55044,1.983311,7.550207,62.11449,1.867808,0.384988,47.26984,1.0,2.925183,40.75719,,2.07334,3.491285,180.2065,2702.189,1.0,3.640982,0.886853,9.938847,325.9846,3.751251,1.998648,589.9525,1.671595,4.458762,1533.52,8.755222,1736.207,14542.44,8.143125,6.88325,0.39927,35.39799,166.3552,7.954721,5.528227,5.253524,11.225,589.9525,589.9525,41.22878,0.776625,4890.167,1.484237,6.178172,1.132477,0.261689,33.38353,650.9714,1235.383,2.44732,10.46059,1.0,94.48048,2.7,0.545486,13255.24,127.8731,0.341372,,129.9111,5.528227,1.818064,
1999.0,46.62167,168333.9,137.4677,3.672881,0.999656,535.0617,2.697299,1.549667,12.91542,0.82484,557.6646,37.86297,615.6733,615.6733,48.95126,1.82813,0.377,1.0,1.816364,0.025011,2.0,5.790555,1.814313,1.986112,1.692538,43.05785,4.611682,615.2676,1.48534,1.501994,509.075,8.278342,615.2676,615.6733,4.34957,4.018333,1758.157,455.6788,102.7,283.9584,0.541332,34.61785,1.836164,177.721,2.7,6.979607,15.91855,66.13413,11690.61,3.416931,8.152633,156.1631,14.68464,7.760558,5.580689,1.969875,6.156692,1.0,615.6733,0.618137,2.016335,0.267476,1337.536,11.49755,615.6737,615.6733,305.8189,2.7,7.326817,177.995,7.759045,14.23907,7.129073,16.96641,237.1898,7854.986,43.05785,0.739155,1962.453,2002.39,72.38979,4.138202,1817.375,38.89512,0.710064,113.7488,119.6641,70.33253,38.90442,3807.833,1.54995,2.7,1188.284,0.304404,7102.025,1505.053,41.9025,0.463811,2.7,70.62661,6.112958,4.000402,37.86297,0.586427,9.794806,10.50421,1214.513,11.42382,9.556952,57.13469,615.6733,0.398502,6.285792,0.938583,988.8933,12.64416,209.2126,25.14816,43.93182,3.800031,6.112958,615.6733,94.50989,11.74696,2.068453,7.799314,68.11184,1.889344,0.384982,51.28692,1.0,3.382244,39.08863,,2.578299,3.966014,188.1718,3115.064,1.0,3.640631,1.529019,24.85553,332.7068,3.750758,2.513717,615.6733,1.694527,4.888571,1769.629,8.724809,0.9375,16176.2,10.91446,7.119,0.833476,41.42638,182.7117,8.264575,6.112958,5.328385,11.225,615.6733,615.6733,37.84463,1.237792,5200.0,1.612605,6.182021,1.185333,0.421006,32.25362,739.1883,1456.061,4.197832,11.32693,1.0,124.6243,2.7,0.605929,13934.26,129.1716,0.694723,,145.2801,6.112958,2.433617,
2000.0,47.35667,9.427331,143.8515,3.672996,0.999891,539.5258,2.688208,1.725241,14.93139,0.894907,712.6684,43.77301,711.8317,711.8317,52.16336,2.113764,0.377,1.0,2.105333,0.071688,2.0,6.149924,1.829969,1.98448,1.724425,44.94066,5.098601,711.7788,1.48509,1.688186,539.6039,8.278492,711.7788,711.8317,19.88584,21.81833,2090.223,531.3661,115.8766,307.1207,0.621859,38.61618,2.123253,177.721,2.7,8.087996,15.95212,73.93433,24974.63,3.538031,9.625,180.5432,16.98554,8.094938,6.451858,2.127062,7.118072,1.0,711.8317,0.660666,1.974405,0.559407,1668.551,13.04138,711.8318,711.8317,365.5775,2.7,7.756432,182.43,7.792159,14.82031,8.288204,21.16805,282.4244,8404.046,44.94066,0.854542,1751.348,2002.403,78.84064,4.078275,2100.969,42.41715,0.710447,107.8014,142.1909,76.18743,47.72159,3840.75,1.724827,2.7,1131.499,0.306873,7887.643,1510.783,40.9025,0.51219,2.7,76.82271,6.942925,4.000395,43.77301,0.606002,10.62598,12.44688,1319.522,11.698,9.460305,65.19079,711.8317,0.438313,6.516725,1.085175,1073.665,15.5695,239.2173,26.19712,59.38487,3.800035,6.942925,711.8317,104.9727,12.25665,2.391243,8.802373,71.04474,2.201445,0.385,53.91906,1.0,3.48843,44.25936,,2.760973,4.344703,217.5416,3490.637,1.0,3.640606,2.169302,28.1542,353.8024,3.750846,2.563164,711.8317,1.724528,5.078504,2051.749,8.737525,1.085833,17809.96,39.56,7.978167,1.32175,46.27156,224.4546,9.168,6.942925,5.699484,11.225,711.8317,711.8317,40.1867,2.07625,5200.0,1.745578,6.226932,1.370274,0.625077,31.2372,800.0615,1648.146,5.471941,12.10027,1.0,236.4215,2.7,0.679871,14166.81,137.8611,3.274839,,159.697,6.942925,3.27304,
2001.0,47.49667,21.18326,143.6285,3.672996,0.999886,555.0775,2.67911,1.933352,15.36997,0.930965,820.9651,45.05863,732.8992,732.8992,55.94687,2.176986,0.377,1.0,2.172686,0.138286,2.0,6.608262,2.350971,1.989519,1.791934,47.17988,5.837526,732.5576,1.548831,1.687183,635.2008,8.277149,732.5576,732.8992,196.3631,206.6175,2299.944,549.7859,123.2133,328.9421,0.64313,38.01379,2.18569,177.721,2.7,8.323718,16.30078,75.09137,25000.0,4.051968,11.30945,185.8504,17.47705,8.335794,6.641374,2.276061,7.32711,1.0,732.8992,0.694254,2.072873,0.730594,1920.538,16.20915,732.8998,732.8992,380.6136,2.7,7.837255,187.3208,7.799493,15.4581,8.349545,24.27723,286.5553,10256.08,47.17988,0.879672,1752.552,2002.405,97.69443,4.207035,2162.755,45.73703,0.710334,121.5112,146.7871,78.54583,48.4401,3916.333,1.933443,2.7,1289.604,0.306618,8954.583,1511.834,48.59191,0.605064,2.7,89.42545,8.615467,4.000042,45.05863,0.626691,11.29871,12.86109,1293.981,11.73862,9.336382,67.34675,732.8992,0.450163,6.748908,1.1173,1097.567,20.58492,255.0494,29.1015,72.27522,3.800308,8.615467,732.8992,115.623,13.35465,2.461551,8.986244,75.12451,2.378761,0.38498,61.72526,1.0,3.506501,50.96293,,3.3631,4.094145,223.9359,4109.405,1.0,3.640569,2.905364,29.20034,420.155,3.750512,2.572601,732.8992,1.792073,5.280893,1947.793,8.751276,1.116667,19443.72,66.37108,8.842083,2.17519,48.36541,243.6794,10.33662,8.615467,5.865,11.225,732.8992,732.8992,44.49055,2.372192,5200.0,2.16478,6.151704,1.438051,1.231946,33.80482,877.7072,1757.001,5.371607,13.3028,1.0,423.0287,2.7,0.723864,14800.18,145.723,3.517049,,166.3495,8.615467,3.666345,
2002.0,47.26,42.13728,140.2128,3.672996,3.09818,573.3533,2.695356,1.839996,14.59731,0.972097,918.0241,42.79358,696.3817,696.3817,57.50228,2.068852,0.376996,1.0,2.063106,0.17834,2.0,7.169328,2.921882,1.990103,1.791837,48.59392,6.320055,696.6725,1.570065,1.556103,689.3298,8.277019,696.6725,696.3817,342.2179,346.485,2507.97,520.0843,117.2558,359.6596,0.610386,32.70899,2.075641,177.721,2.7,7.883068,17.8398,78.19056,25000.0,4.628127,13.9582,176.5118,16.59946,8.42886,6.307451,2.181063,6.958616,1.0,696.3817,0.666393,2.193968,0.794288,1969.719,19.62111,696.3813,696.3817,361.4766,2.7,7.823462,190.665,7.799601,16.42794,7.864606,28.72014,257.6781,9319.032,48.59392,0.835419,6397.503,2002.373,91.55617,4.737559,2054.046,48.39701,0.708261,125.2378,153.2829,78.73015,46.93958,3912.083,1.840563,2.7,1249.955,0.304018,10056.33,1513.132,61.75417,1.270679,2.7,95.61231,10.50244,3.673179,42.79358,0.617276,11.02341,13.57441,1299.795,11.9421,9.666311,64.03629,696.3817,0.433552,6.642083,1.061625,1103.809,23.27155,273.2109,29.95288,76.21234,3.800449,10.50244,696.3817,122.3799,14.21896,2.337806,7.98091,77.24381,2.160352,0.384992,59.54147,1.0,3.516692,51.60771,,3.878456,4.078998,212.6765,5714.212,1.0,3.640944,3.305855,31.38375,467.6807,3.750105,2.58475,696.3817,1.79071,6.662652,2058.614,8.74547,1.061667,21077.48,64.40525,9.088333,2.345712,45.26152,239.8694,9.716934,10.50244,5.621681,11.225,696.3817,696.3817,43.00239,2.764133,,2.240313,6.113383,1.421417,1.515001,34.53488,966.5857,1803.692,5.326749,21.13171,1.0,769.4072,2.7,1.16177,15266.81,139.2535,3.427292,1.061628,174.7641,10.50244,4.486478,
